Title,URL,Location,Price,Bedrooms,Type,County
5 Bed Townhouse with En Suite at Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3678794,Lavington,80000000,5,Townhouse,Nairobi
3 Bed House with En Suite in Kitengela,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3627975,Kitengela,6500000,3,House,Kajiado County
4 Bed House with En Suite in Mombasa Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-road-3737396,Mombasa Road,27000000,4,House,Nairobi
4 Bed House with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3737386,Kiambu Road,32000000,4,House,Nairobi
4 Bed House with En Suite in Thika Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-thika-road-3737370,Thika Road,16000000,4,House,Nairobi
4 Bed House with En Suite in Kikuyu Town,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kikuyu-town-3737376,Kikuyu Town,22000000,4,House,Kiambu County
4 Bed House with En Suite in Mombasa Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-road-3737363,Mombasa Road,20950000,4,House,Nairobi
5 Bed House with En Suite in Muthaiga,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-muthaiga-3737367,Muthaiga,110000000,5,House,Nairobi
3 Bed House with En Suite at Acacia,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3737335,Kitengela,6500000,3,House,Kajiado County
3 Bed House with En Suite at Gatundu Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kenyatta-road-3737313,Kenyatta Road,7200000,3,House,Kiambu County
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3737304,Lavington,78000000,5,Townhouse,Nairobi
3 Bed House with Garden at Acacia,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3737297,Kitengela,6500000,3,House,Kajiado County
4 Bed House with En Suite in Kamakis,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kamakis-3737296,Ruiru Kamakis,22000000,4,House,Kiambu County
3 Bed House with En Suite at Acacia,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3737290,Kitengela,6500000,3,House,Kajiado County
6 Bed House with En Suite at Watamu,https://www.buyrentkenya.com/listings/furnished-6-bedroom-house-for-sale-watamu-3737287,Watamu,100000000,6,House,Kilifi County
3 Bed House with En Suite in Malindi,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-sale-malindi-3737286,Malindi,120000000,3,House,Kilifi County
4 Bed House with En Suite at Causorina,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-malindi-3737284,Malindi,55000000,4,House,Kilifi County
4 Bed Townhouse with Swimming Pool at Off Mombasa Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-athi-river-area-3737276,Athi River,22400000,4,Townhouse,Machakos County
